food_id,food_name,smiles
702,Isorhoifolin,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=CC(=C4C(=C3)OC(=CC4=O)C5=CC=C(C=C5)O)O)O)O)O)O)O)O
703,Diosmin,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=CC(=C4C(=C3)OC(=CC4=O)C5=CC(=C(C=C5)OC)O)O)O)O)O)O)O)O
704,D-Galactose,C([C@@H]1[C@@H]([C@@H]([C@H](C(O1)O)O)O)O)O
705,"(3b,5a,6b,25R)-3,6-Dihydroxyspirostane-2,12-dione 3-[4'-(2''-glucosyl-3''-xylosyl)-galactoside]",CC1CCC2(C(C3C(O2)CC4C3(C(=O)CC5C4CC(C6C5(CC(=O)C(C6)OC7C(C(C(C(O7)CO)OC8C(C(C(C(O8)CO)O)OC9C(C(C(CO9)O)O)O)OC2C(C(C(C(O2)CO)O)O)O)O)O)C)O)C)C)OC1
706,"(3b,5a,25R)-3-Hydroxyspirostan-6-one 3-[2-acetylarabinosyl-(1->6)-glucoside]",CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CC(=O)C6C5(CCC(C6)OC7C(C(C(C(O7)COC8C(C(C(CO8)O)O)OC(=O)C)O)O)O)C)C)C)OC1
707,"(2a,3b,5a,6a,22R,25R)-Furostane-22-methoxy-2,3,6,26-tetrol 3-[glucosyl-(1->2)-[xylosyl-(1->3)]-glucosyl-(1->4)-galactoside] 26-glucoside",CC1C2C(CC3C2(CCC4C3CC(C5C4(CC(C(C5)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)CO)O)OC8C(C(C(CO8)O)O)O)OC9C(C(C(C(O9)CO)O)O)O)O)O)O)C)O)C)OC1(CCC(C)COC1C(C(C(C(O1)CO)O)O)O)OC
708,"(25S)-Spirostane-3b,5b,6a-triol 3-[4''-rhamnosylglucoside]",CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CC(C6(C5(CCC(C6)OC7C(C(C(C(O7)CO)OC8C(C(C(C(O8)C)O)O)O)O)O)C)O)O)C)C)OC1
709,"(3b,5a,6b,22a,25R)-Furostane-22-methoxy-3,6,26-triol 3-[glucosyl-(1->2)-[xylosyl-(1->3)]-glucosyl-(1->4)-galactoside] 26-glucoside",CC1C2C(CC3C2(CCC4C3CC(C5C4(CCC(C5)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)CO)O)OC8C(C(C(CO8)O)O)O)OC9C(C(C(C(O9)CO)O)O)O)O)O)C)O)C)OC1(CCC(C)COC1C(C(C(C(O1)CO)O)O)O)OC
710,Levodopa,C1=CC(=C(C=C1C[C@@H](C(=O)O)N)O)O
711,Uridine,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O
712,Pipecolic Acid,C1CCNC(C1)C(=O)O
713,Choline Alfoscerate,C[N+](C)(C)CCOP(=O)([O-])OC[C@@H](CO)O
714,Acetylglycine,CC(=O)NCC(=O)O
689,Lactic Acid,CC(C(=O)O)O
715,Pyruvic Acid,CC(=O)C(=O)O
716,Chloride,[Cl-]
689,L-Lactic Acid,C[C@@H](C(=O)O)O
717,O-alpha-D-Glucopyranosyl-(1->4)-O-alpha-D-glucopyranosyl-(1->4)-D-glucopyranose,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@@H]3[C@H](OC([C@@H]([C@H]3O)O)O)CO)CO)O)O)O)O
718,Vicine,C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)OC2=C(N=C(NC2=O)N)N)O)O)O)O
719,Sulfate Ion,[O-]S(=O)(=O)[O-]
-1,Potassium oxide,[O-2].[K+].[K+]
720,Calcium Oxide,O=[Ca]
721,Pantothenic Acid,CC(C)(CO)[C@H](C(=O)NCCC(=O)O)O
722,Gossypol,CC1=CC2=C(C(=C(C(=C2C(C)C)O)O)C=O)C(=C1C3=C(C4=C(C=C3C)C(=C(C(=C4C=O)O)O)C(C)C)O)O
