food_name,calcium_tier,vitk_tier,iron_tier,potassium_tier,magnesium_tier,zinc_tier,tyramine_tier,calcium,iron,magnesium,potassium,vitk,zinc,acid_tier
"Beans, Dry, Navy, 719 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,179.0,3.89,167.0,1260.0,,3.61,LOW
"Beans, Dry, Navy, 721 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,LOW,243.0,5.67,200.0,1550.0,,2.92,LOW
"Beans, Dry, Navy, 771 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,233.0,4.49,182.0,1520.0,,3.47,LOW
"Beans, Dry, Pink (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,137.0,5.46,164.0,1490.0,,3.26,LOW
"Beans, Dry, Pink, 11F-8018 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,LOW,144.0,6.18,169.0,1420.0,,2.94,LOW
"Beans, Dry, Pink, 11F-8019 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,127.0,6.44,173.0,1540.0,,3.36,LOW
"Beans, Dry, Pink, 11F-8034 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,112.0,6.31,166.0,1420.0,,3.35,LOW
"Beans, Dry, Pink, 11F-8041 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,LOW,113.0,5.54,166.0,1420.0,,2.94,LOW
"Beans, Dry, Pink, 11F-8058 (0% moisture)",LOW,LOW,HIGH,HIGH,HIGH,HIGH,LOW,90.0,6.62,150.0,1460.0,,3.4,LOW
"Beans, Dry, Pink, 11F-8059 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,125.0,6.29,163.0,1480.0,,3.33,LOW
"Beans, Dry, Pink, 11F-8082 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,105.0,7.39,151.0,1060.0,,3.52,LOW
"Beans, Dry, Pink, 11F-8084 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,131.0,7.28,162.0,1390.0,,3.56,LOW
"Beans, Dry, Pink, 11F-8105 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,128.0,6.06,175.0,1360.0,,3.05,LOW
"Beans, Dry, Pink, 11F-8124 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,LOW,141.0,6.36,164.0,1600.0,,2.92,LOW
"Beans, Dry, Pink, 11F-8136 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,105.0,6.32,153.0,1560.0,,3.22,LOW
"Beans, Dry, Pink, 11F-8149 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,LOW,101.0,6.44,152.0,1590.0,,2.95,LOW
"Beans, Dry, Pink, 11F-8156 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,LOW,106.0,5.76,159.0,1590.0,,2.57,LOW
"Beans, Dry, Pink, 11F-8187 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,LOW,151.0,6.08,171.0,1420.0,,2.76,LOW
"Beans, Dry, Pink, 11F-8188 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,117.0,6.33,157.0,1440.0,,3.17,LOW
"Beans, Dry, Pink, 11F-8190 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,112.0,7.14,158.0,1420.0,,3.45,LOW
"Beans, Dry, Pink, 11F-8193 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,LOW,136.0,6.4,164.0,1460.0,,2.99,LOW
"Beans, Dry, Pink, 11F-8197 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,115.0,6.09,158.0,1400.0,,3.11,LOW
"Beans, Dry, Pink, 321 (0% moisture)",LOW,LOW,HIGH,HIGH,HIGH,MEDIUM,LOW,98.0,5.21,155.0,1660.0,,2.93,LOW
"Beans, Dry, Pink, 338 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,119.0,5.17,141.0,1640.0,,3.07,LOW
"Beans, Dry, Pink, 342 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,145.0,4.65,197.0,1720.0,,3.22,LOW
"Beans, Dry, Pink, 354 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,LOW,182.0,4.97,173.0,1480.0,,2.94,LOW
"Beans, Dry, Pink, 359 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,LOW,149.0,4.53,151.0,1700.0,,2.84,LOW
"Beans, Dry, Pink, 399 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,143.0,4.2,155.0,1480.0,,3.2,LOW
"Beans, Dry, Pink, 404 (0% moisture)",LOW,LOW,HIGH,HIGH,HIGH,HIGH,LOW,99.0,5.15,153.0,1590.0,,3.14,LOW
"Beans, Dry, Pink, 411 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,237.0,5.04,153.0,1490.0,,3.28,LOW
"Beans, Dry, Pink, 430 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,171.0,4.92,162.0,1480.0,,3.35,LOW
"Beans, Dry, Pink, 433 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,136.0,4.48,158.0,1600.0,,3.03,LOW
"Beans, Dry, Pink, 445 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,LOW,116.0,4.55,143.0,1430.0,,2.73,LOW
"Beans, Dry, Pink, 448 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,129.0,4.55,164.0,1440.0,,3.14,LOW
"Beans, Dry, Pink, 461 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,132.0,5.63,147.0,1610.0,,3.16,LOW
"Beans, Dry, Pink, 477 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,123.0,5.12,161.0,1810.0,,3.53,LOW
"Beans, Dry, Pink, 478 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,148.0,5.31,163.0,1430.0,,3.48,LOW
"Beans, Dry, Pink, 481 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,136.0,5.32,167.0,1480.0,,3.84,LOW
"Beans, Dry, Pink, 483 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,149.0,4.74,161.0,1590.0,,3.49,LOW
"Beans, Dry, Pink, 486 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,189.0,5.19,156.0,1410.0,,3.53,LOW
"Beans, Dry, Pink, 502 (0% moisture)",LOW,LOW,HIGH,HIGH,HIGH,HIGH,LOW,95.0,4.72,176.0,1650.0,,3.65,LOW
"Beans, Dry, Pink, 504 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,211.0,5.37,158.0,1470.0,,3.43,LOW
"Beans, Dry, Pink, 629 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,115.0,5.99,157.0,1490.0,,3.11,LOW
"Beans, Dry, Pink, 636 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,LOW,155.0,5.12,149.0,1470.0,,2.78,LOW
"Beans, Dry, Pink, 641 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,153.0,4.71,159.0,1470.0,,3.25,LOW
"Beans, Dry, Pink, 652 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,107.0,4.68,162.0,1080.0,,3.14,LOW
"Beans, Dry, Pink, 664 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,166.0,5.49,183.0,1440.0,,3.3,LOW
"Beans, Dry, Pink, 687 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,211.0,4.69,173.0,1580.0,,3.2,LOW
"Beans, Dry, Pink, 699 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,148.0,4.9,162.0,1480.0,,3.36,LOW
"Beans, Dry, Pink, 701 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,180.0,5.03,172.0,1070.0,,3.46,LOW
"Beans, Dry, Pink, 712 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,120.0,4.93,158.0,1550.0,,3.34,LOW
"Beans, Dry, Pink, 725 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,128.0,4.23,175.0,1470.0,,3.3,LOW
"Beans, Dry, Pink, 732 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,246.0,5.52,196.0,1560.0,,4.22,LOW
"Beans, Dry, Pink, 739 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,107.0,4.86,174.0,1540.0,,3.08,LOW
"Beans, Dry, Pink, 752 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,129.0,5.7,173.0,1730.0,,3.86,LOW
"Beans, Dry, Pink, 779 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,148.0,4.81,140.0,1400.0,,3.02,LOW
"Beans, Dry, Pink, 794 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,120.0,5.53,178.0,1650.0,,3.74,LOW
"Beans, Dry, Pink, 796 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,141.0,5.06,162.0,1380.0,,3.09,LOW
"Beans, Dry, Pink, 803 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,139.0,4.72,152.0,1370.0,,3.3,LOW
"Beans, Dry, Pink, 817 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,137.0,5.32,157.0,1450.0,,3.81,LOW
"Beans, Dry, Pink, 819 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,115.0,5.76,209.0,1640.0,,4.03,LOW
"Beans, Dry, Pinto (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,161.0,5.4,170.0,1510.0,,3.43,LOW
"Beans, Dry, Pinto, 11F-8006 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,152.0,6.68,171.0,1480.0,,3.16,LOW
"Beans, Dry, Pinto, 11F-8012 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,194.0,7.36,184.0,1430.0,,4.08,LOW
"Beans, Dry, Pinto, 11F-8024 (0% moisture)",LOW,LOW,HIGH,HIGH,HIGH,HIGH,LOW,99.0,6.74,173.0,1580.0,,3.6,LOW
"Beans, Dry, Pinto, 11F-8026 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,113.0,6.73,191.0,1480.0,,3.45,LOW
"Beans, Dry, Pinto, 11F-8031 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,138.0,7.13,158.0,1230.0,,3.12,LOW
"Beans, Dry, Pinto, 11F-8032 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,133.0,6.25,160.0,1380.0,,3.02,LOW
"Beans, Dry, Pinto, 11F-8035 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,140.0,6.26,172.0,1390.0,,3.13,LOW
"Beans, Dry, Pinto, 11F-8037 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,147.0,6.76,165.0,1400.0,,3.53,LOW
"Beans, Dry, Pinto, 11F-8038 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,135.0,7.49,187.0,1490.0,,3.59,LOW
"Beans, Dry, Pinto, 11F-8047 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,232.0,6.8,210.0,1430.0,,3.42,LOW
"Beans, Dry, Pinto, 11F-8048 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,151.0,7.11,172.0,1500.0,,3.79,LOW
"Beans, Dry, Pinto, 11F-8049 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,147.0,6.79,174.0,1440.0,,3.56,LOW
"Beans, Dry, Pinto, 11F-8054 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,137.0,7.05,182.0,1420.0,,3.69,LOW
"Beans, Dry, Pinto, 11F-8055 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,127.0,7.35,177.0,1440.0,,3.65,LOW
"Beans, Dry, Pinto, 11F-8065 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,144.0,6.36,174.0,1400.0,,3.49,LOW
"Beans, Dry, Pinto, 11F-8069 (0% moisture)",LOW,LOW,HIGH,HIGH,HIGH,HIGH,LOW,93.0,6.49,161.0,1480.0,,3.65,LOW
"Beans, Dry, Pinto, 11F-8070 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,139.0,6.4,179.0,1450.0,,3.32,LOW
"Beans, Dry, Pinto, 11F-8072 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,120.0,6.5,186.0,1480.0,,3.77,LOW
"Beans, Dry, Pinto, 11F-8075 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,123.0,6.45,164.0,1370.0,,3.25,LOW
"Beans, Dry, Pinto, 11F-8076 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,163.0,7.14,201.0,1500.0,,3.95,LOW
"Beans, Dry, Pinto, 11F-8078 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,147.0,6.26,159.0,1360.0,,3.15,LOW
"Beans, Dry, Pinto, 11F-8079 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,165.0,6.45,172.0,1380.0,,3.64,LOW
"Beans, Dry, Pinto, 11F-8081 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,119.0,6.73,169.0,1440.0,,3.69,LOW
"Beans, Dry, Pinto, 11F-8083 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,108.0,7.11,167.0,1450.0,,3.57,LOW
"Beans, Dry, Pinto, 11F-8088 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,114.0,6.63,149.0,1320.0,,3.27,LOW
"Beans, Dry, Pinto, 11F-8089 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,142.0,6.35,160.0,1330.0,,3.52,LOW
"Beans, Dry, Pinto, 11F-8091 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,136.0,6.2,158.0,1340.0,,3.46,LOW
"Beans, Dry, Pinto, 11F-8094 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,135.0,7.03,171.0,1490.0,,3.23,LOW
"Beans, Dry, Pinto, 11F-8095 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,136.0,6.92,170.0,1440.0,,3.64,LOW
"Beans, Dry, Pinto, 11F-8096 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,162.0,6.92,172.0,1380.0,,3.64,LOW
"Beans, Dry, Pinto, 11F-8099 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,134.0,7.67,177.0,1390.0,,3.58,LOW
"Beans, Dry, Pinto, 11F-8100 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,148.0,6.36,166.0,1370.0,,3.32,LOW
"Beans, Dry, Pinto, 11F-8101 (0% moisture)",LOW,LOW,HIGH,HIGH,HIGH,HIGH,LOW,93.0,6.51,158.0,1450.0,,3.53,LOW
"Beans, Dry, Pinto, 11F-8102 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,134.0,6.54,173.0,1390.0,,3.73,LOW
"Beans, Dry, Pinto, 11F-8103 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,119.0,6.2,184.0,1340.0,,3.46,LOW
"Beans, Dry, Pinto, 11F-8106 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,LOW,153.0,5.56,174.0,1480.0,,2.98,LOW
"Beans, Dry, Pinto, 11F-8108 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,LOW,203.0,6.32,201.0,1520.0,,2.69,LOW
"Beans, Dry, Pinto, 11F-8109 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,LOW,140.0,6.04,168.0,1540.0,,2.8,LOW
"Beans, Dry, Pinto, 11F-8114 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,122.0,7.5,179.0,1570.0,,3.34,LOW
"Beans, Dry, Pinto, 11F-8118 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,165.0,6.62,183.0,1620.0,,3.95,LOW
"Beans, Dry, Pinto, 11F-8120 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,132.0,7.3,167.0,1490.0,,3.14,LOW
"Beans, Dry, Pinto, 11F-8121 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,131.0,7.04,169.0,1690.0,,3.28,LOW
"Beans, Dry, Pinto, 11F-8126 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,LOW,113.0,6.88,170.0,1630.0,,2.98,LOW
"Beans, Dry, Pinto, 11F-8133 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,121.0,6.49,172.0,1600.0,,3.41,LOW
"Beans, Dry, Pinto, 11F-8144 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,145.0,6.84,164.0,1590.0,,3.18,LOW
"Beans, Dry, Pinto, 11F-8147 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,116.0,6.28,160.0,1580.0,,3.27,LOW
"Beans, Dry, Pinto, 11F-8151 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,106.0,6.97,174.0,1640.0,,3.52,LOW
"Beans, Dry, Pinto, 11F-8157 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,LOW,100.0,6.19,154.0,1470.0,,2.83,LOW
"Beans, Dry, Pinto, 11F-8159 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,105.0,6.76,154.0,1510.0,,3.27,LOW
"Beans, Dry, Pinto, 11F-8164 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,121.0,6.06,160.0,1540.0,,3.04,LOW
"Beans, Dry, Pinto, 11F-8166 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,158.0,7.01,171.0,1510.0,,3.42,LOW
"Beans, Dry, Pinto, 11F-8167 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,152.0,6.56,159.0,1490.0,,3.08,LOW
"Beans, Dry, Pinto, 11F-8170 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,177.0,7.21,176.0,1450.0,,3.38,LOW
"Beans, Dry, Pinto, 11F-8173 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,147.0,6.63,176.0,1600.0,,3.29,LOW
"Beans, Dry, Pinto, 11F-8176 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,LOW,140.0,6.87,164.0,1480.0,,2.79,LOW
"Beans, Dry, Pinto, 11F-8178 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,172.0,7.03,193.0,1650.0,,3.38,LOW
"Beans, Dry, Pinto, 11F-8181 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,150.0,6.22,165.0,1500.0,,3.45,LOW
"Beans, Dry, Pinto, 11F-8182 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,149.0,6.64,173.0,1510.0,,3.58,LOW
"Beans, Dry, Pinto, 11F-8189 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,114.0,5.89,159.0,1460.0,,3.03,LOW
"Beans, Dry, Pinto, 11F-8191 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,159.0,6.49,171.0,1430.0,,3.18,LOW
"Beans, Dry, Pinto, 11F-8196 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,140.0,7.15,167.0,1490.0,,3.44,LOW
"Beans, Dry, Pinto, 11F-8198 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,137.0,6.16,168.0,1530.0,,3.0,LOW
"Beans, Dry, Pinto, 218 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,186.0,3.4,155.0,1570.0,,3.21,LOW
"Beans, Dry, Pinto, 224 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,164.0,4.88,179.0,1650.0,,3.36,LOW
"Beans, Dry, Pinto, 270 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,231.0,5.39,162.0,1550.0,,3.73,LOW
"Beans, Dry, Pinto, 322 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,LOW,160.0,4.19,149.0,1470.0,,2.92,LOW
"Beans, Dry, Pinto, 324 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,LOW,191.0,4.5,156.0,1530.0,,2.86,LOW
"Beans, Dry, Pinto, 325 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,LOW,167.0,5.3,150.0,1410.0,,2.93,LOW
"Beans, Dry, Pinto, 326 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,LOW,186.0,4.0,152.0,1420.0,,2.73,LOW
"Beans, Dry, Pinto, 328 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,LOW,170.0,4.62,177.0,1480.0,,2.78,LOW
"Beans, Dry, Pinto, 329 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,LOW,129.0,3.92,196.0,1580.0,,2.94,LOW
"Beans, Dry, Pinto, 333 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,161.0,5.34,162.0,1580.0,,3.11,LOW
"Beans, Dry, Pinto, 334 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,LOW,198.0,4.64,162.0,1480.0,,2.61,LOW
"Beans, Dry, Pinto, 336 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,226.0,4.93,190.0,1590.0,,3.17,LOW
"Beans, Dry, Pinto, 340 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,166.0,5.42,190.0,1620.0,,3.43,LOW
"Beans, Dry, Pinto, 343 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,165.0,5.16,162.0,1600.0,,3.18,LOW
"Beans, Dry, Pinto, 349 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,127.0,4.71,170.0,1850.0,,3.21,LOW
"Beans, Dry, Pinto, 352 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,135.0,5.21,169.0,1690.0,,3.07,LOW
"Beans, Dry, Pinto, 353 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,203.0,4.93,163.0,1620.0,,3.55,LOW
"Beans, Dry, Pinto, 355 (0% moisture)",MEDIUM,LOW,UNKNOWN,HIGH,HIGH,MEDIUM,LOW,115.0,,136.0,1150.0,,2.71,LOW
"Beans, Dry, Pinto, 356 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,LOW,185.0,3.6,188.0,1520.0,,2.91,LOW
"Beans, Dry, Pinto, 358 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,178.0,4.12,165.0,1490.0,,3.06,LOW
"Beans, Dry, Pinto, 360 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,142.0,5.12,146.0,1570.0,,3.31,LOW
"Beans, Dry, Pinto, 361 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,133.0,4.93,174.0,1560.0,,3.23,LOW
"Beans, Dry, Pinto, 362 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,149.0,5.2,171.0,1680.0,,3.64,LOW
"Beans, Dry, Pinto, 365 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,204.0,3.58,149.0,1560.0,,3.19,LOW
"Beans, Dry, Pinto, 366 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,209.0,5.36,149.0,1520.0,,3.18,LOW
"Beans, Dry, Pinto, 367 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,165.0,4.67,164.0,1610.0,,3.04,LOW
"Beans, Dry, Pinto, 368 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,142.0,5.13,168.0,1420.0,,3.35,LOW
"Beans, Dry, Pinto, 371 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,145.0,5.94,163.0,1610.0,,3.47,LOW
"Beans, Dry, Pinto, 372 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,LOW,176.0,4.02,188.0,1620.0,,2.94,LOW
"Beans, Dry, Pinto, 373 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,138.0,6.09,161.0,1460.0,,3.8,LOW
"Beans, Dry, Pinto, 377 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,162.0,4.36,149.0,1440.0,,3.15,LOW
"Beans, Dry, Pinto, 381 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,LOW,139.0,4.76,198.0,1540.0,,2.96,LOW
"Beans, Dry, Pinto, 382 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,186.0,4.96,159.0,1480.0,,3.15,LOW
"Beans, Dry, Pinto, 383 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,161.0,4.95,206.0,1620.0,,3.46,LOW
