drug_name,food_name,layer0_fired,layer0_rule,layer0_severity
metformin,Cuminaldehyde,False,,
insulin,Apigenin,False,,
insulin,Cuminaldehyde,False,,
empagliflozin,Apigenin,False,,
empagliflozin,Cuminaldehyde,False,,
dapagliflozin,Apigenin,False,,
dapagliflozin,Cuminaldehyde,False,,
canagliflozin,Apigenin,False,,
canagliflozin,Cuminaldehyde,False,,
losartan,Cuminaldehyde,False,,
valsartan,Apigenin,False,,
valsartan,Cuminaldehyde,False,,
acarbose,Saponins,False,,
metformin,Saponins,False,,
propranolol,Saponins,False,,
propranolol,Starch,False,,
phenytoin,Saponins,False,,
cyclosporine,Saponins,False,,
acarbose,Cinnamaldehyde,False,,
propranolol,Allicin,False,,
cyclosporine,Piperine,False,,
cholestyramine,Allicin,False,,
cholestyramine,Piperine,False,,
folate,Folic Acid,False,,
methotrexate,Carotene,False,,
folate,Carotene,False,,
pemetrexed,Carotene,False,,
trimethoprim,Carotene,False,,
nsaid,Carotene,False,,
naproxen,Carotene,False,,
methotrexate,Ginger,False,,
methotrexate,Piperine,False,,
folate,Curcumin,False,,
folate,Ginger,False,,
folate,Piperine,False,,
pemetrexed,Curcumin,False,,
pemetrexed,Ginger,False,,
pemetrexed,Piperine,False,,
trimethoprim,Ginger,False,,
trimethoprim,Piperine,False,,
nsaid,Curcumin,False,,
nsaid,Ginger,False,,
nsaid,Piperine,False,,
naproxen,Curcumin,False,,
naproxen,Ginger,False,,
naproxen,Piperine,False,,
nsaid,Allicin,False,,
ibuprofen,Allicin,False,,
naproxen,Allicin,False,,
retinol,Allicin,False,,
isotretinoin,Myo-Inositol,False,,
cyclosporine,Myo-Inositol,False,,
atropine,Lutein,False,,
atropine,L-Leucine,False,,
oxybutynin,Lutein,False,,
oxybutynin,L-Leucine,False,,
ne,Lutein,False,,
ne,L-Leucine,False,,
donepezil,Lutein,False,,
donepezil,L-Leucine,False,,
isotretinoin,Lutein,False,,
isotretinoin,L-Leucine,True,CHELATION_RISK,MEDIUM
griseofulvin,Choline,False,,
griseofulvin,Lutein,False,,
griseofulvin,L-Leucine,False,,
cyclosporine,Lutein,False,,
paracetamol,Lutein,False,,
paracetamol,L-Leucine,False,,
